,CITY,SECTOR_ID,SECTOR_NAME,ENODEB_ID,ENODEB_NAME,EARFCN,PCI,PSS,SSS,TAC,AZIMUTH,HEIGHT,ELECTTILT,MECHTILT,TOTLETILT
3848,sanxia,259627-5,B马煤气化三期-HLHD-6,259627,B马煤气化三期-HLHF,37900,290,2,96,14467,180.0,43.0,6.0,3.0,9.0
3849,sanxia,259628-0,E宝上屯-HLHF-1,259628,E宝上屯-HLHF,38400,480,0,160,14435,0.0,43.0,6.0,3.0,9.0
3850,sanxia,259628-1,E宝上屯-HLHF-2,259628,E宝上屯-HLHF,38400,481,1,160,14435,120.0,43.0,6.0,3.0,9.0
3851,sanxia,259628-2,E宝上屯-HLHF-3,259628,E宝上屯-HLHF,38400,482,2,160,14435,180.0,43.0,6.0,3.0,9.0
3852,sanxia,259629-0,D县观音堂中学-HLHF-1,259629,D县观音堂中学-HLHF,38400,445,1,148,18833,30.0,23.0,6.0,3.0,9.0
3853,sanxia,259629-1,D县观音堂中学-HLHF-2,259629,D县观音堂中学-HLHF,38400,446,2,148,18833,120.0,23.0,6.0,3.0,9.0
3854,sanxia,259629-2,D县观音堂中学-HLHF-3,259629,D县观音堂中学-HLHF,38400,444,0,148,18833,240.0,23.0,6.0,3.0,9.0
3855,sanxia,259630-0,E宝营里-HLHF-1,259630,E宝营里-HLHF,38400,496,1,165,18832,120.0,33.0,6.0,3.0,9.0
3856,sanxia,259630-1,E宝营里-HLHF-2,259630,E宝营里-HLHF,38400,497,2,165,18832,240.0,33.0,6.0,3.0,9.0
3857,sanxia,259631-0,E宝大王汽车电器-HLHF-1,259631,E宝大王汽车电器-HLHF,38400,186,0,62,18836,40.0,17.0,6.0,5.0,11.0
3858,sanxia,259631-1,E宝大王汽车电器-HLHF-2,259631,E宝大王汽车电器-HLHF,38400,187,1,62,18836,150.0,17.0,6.0,5.0,11.0
3859,sanxia,259631-2,E宝大王汽车电器-HLHF-3,259631,E宝大王汽车电器-HLHF,38400,188,2,62,18836,270.0,17.0,6.0,5.0,11.0
3860,sanxia,259632-0,E宝阳店鑫苑家具城-HLHF-1,259632,E宝阳店鑫苑家具城-HLHF,38400,410,2,136,18836,0.0,20.0,6.0,5.0,11.0
3861,sanxia,259632-1,E宝阳店鑫苑家具城-HLHF-2,259632,E宝阳店鑫苑家具城-HLHF,38400,408,0,136,18836,120.0,20.0,6.0,5.0,11.0
3862,sanxia,259632-2,E宝阳店鑫苑家具城-HLHF-3,259632,E宝阳店鑫苑家具城-HLHF,38400,409,1,136,18836,240.0,20.0,6.0,5.0,11.0
3863,sanxia,259633-0,E宝川口科里村口-HLHF-1,259633,E宝川口科里村口-HLHF,38400,143,2,47,18836,0.0,33.0,3.0,3.0,6.0
3864,sanxia,259633-1,E宝川口科里村口-HLHF-2,259633,E宝川口科里村口-HLHF,38400,141,0,47,18836,120.0,33.0,6.0,0.0,6.0
3865,sanxia,259633-2,E宝川口科里村口-HLHF-3,259633,E宝川口科里村口-HLHF,38400,142,1,47,18836,240.0,33.0,6.0,0.0,6.0
3866,sanxia,259634-0,E宝豫灵红花寨-HLHF-1,259634,E宝豫灵红花寨-HLHF,38400,445,1,148,14435,20.0,38.0,6.0,5.0,11.0
